Recipe 0001, score: 7101012451.
Recipe 0002, score: 1010124515.
Recipe 0003, score: 0101245158.
Recipe 0004, score: 1012451589.
Recipe 0005, score: 0124515891.
Recipe 0006, score: 1245158916.
Recipe 0007, score: 2451589167.
Recipe 0008, score: 4515891677.
Recipe 0009, score: 5158916779.
Recipe 0010, score: 1589167792.
Recipe 0011, score: 5891677925.
Recipe 0012, score: 8916779251.
Recipe 0013, score: 9167792510.
Recipe 0014, score: 1677925107.
Recipe 0015, score: 6779251071.
Recipe 0016, score: 7792510710.
Recipe 0017, score: 7925107108.
Recipe 0018, score: 9251071085.
Recipe 0019, score: 2510710851.
Recipe 0020, score: 5107108510.
Recipe 0021, score: 1071085101.
Recipe 0022, score: 0710851011.
Recipe 0023, score: 7108510111.
Recipe 0024, score: 1085101110.
Recipe 0025, score: 0851011107.
Recipe 0026, score: 8510111078.
Recipe 0027, score: 5101110781.
Recipe 0028, score: 1011107811.
Recipe 0029, score: 0111078111.
Recipe 0030, score: 1110781119.
Recipe 0031, score: 1107811198.
Recipe 0032, score: 1078111982.
Recipe 0033, score: 0781119824.
Recipe 0034, score: 7811198241.
Recipe 0035, score: 8111982416.
Recipe 0036, score: 1119824161.
Recipe 0037, score: 1198241611.
Recipe 0038, score: 1982416114.
Recipe 0039, score: 9824161141.
Recipe 0040, score: 8241611418.
Recipe 0041, score: 2416114188.
Recipe 0042, score: 4161141881.
Recipe 0043, score: 1611418813.
Recipe 0044, score: 6114188131.
Recipe 0045, score: 1141881310.
Recipe 0046, score: 1418813108.
Recipe 0047, score: 4188131085.
Recipe 0048, score: 1881310851.
Recipe 0049, score: 8813108513.
Recipe 0050, score: 8131085134.
Recipe 0051, score: 1310851341.
Recipe 0052, score: 3108513411.
Recipe 0053, score: 1085134114.
Recipe 0054, score: 0851341145.
Recipe 0055, score: 8513411451.
Recipe 0056, score: 5134114511.
Recipe 0057, score: 1341145111.
Recipe 0058, score: 3411451111.
Recipe 0059, score: 4114511119.
Recipe 0060, score: 1145111199.
Recipe 0061, score: 1451111995.
Recipe 0062, score: 4511119951.
Recipe 0063, score: 5111199511.
Recipe 0064, score: 1111995112.
Recipe 0065, score: 1119951129.
Recipe 0066, score: 1199511298.
Recipe 0067, score: 1995112985.
Recipe 0068, score: 9951129858.
Recipe 0069, score: 9511298581.
Recipe 0070, score: 5112985812.
Recipe 0071, score: 1129858121.
Recipe 0072, score: 1298581212.
Recipe 0073, score: 2985812125.
Recipe 0074, score: 9858121251.
Recipe 0075, score: 8581212511.
Recipe 0076, score: 5812125116.
Recipe 0077, score: 8121251166.
Recipe 0078, score: 1212511669.
Recipe 0079, score: 2125116696.
Recipe 0080, score: 1251166966.
Recipe 0081, score: 2511669665.
Recipe 0082, score: 5116696655.
Recipe 0083, score: 1166966551.
Recipe 0084, score: 1669665518.
Recipe 0085, score: 6696655189.
Recipe 0086, score: 6966551896.
Recipe 0087, score: 9665518966.
Recipe 0088, score: 6655189661.
Recipe 0089, score: 6551896613.
Recipe 0090, score: 5518966134.
Recipe 0091, score: 5189661345.
Recipe 0092, score: 1896613454.
Recipe 0093, score: 8966134549.
Recipe 0094, score: 9661345491.
Recipe 0095, score: 6613454913.
Recipe 0096, score: 6134549138.
Recipe 0097, score: 1345491381.
Recipe 0098, score: 3454913810.
Recipe 0099, score: 4549138102.
Recipe 0100, score: 5491381021.
Recipe 0101, score: 4913810212.
Recipe 0102, score: 9138102121.
Recipe 0103, score: 1381021210.
Recipe 0104, score: 3810212101.
Recipe 0105, score: 8102121010.
Recipe 0106, score: 1021210101.
Recipe 0107, score: 0212101012.
Recipe 0108, score: 2121010125.
Recipe 0109, score: 1210101255.
Recipe 0110, score: 2101012552.
Recipe 0111, score: 1010125521.
Recipe 0112, score: 0101255214.
Recipe 0113, score: 1012552149.
Recipe 0114, score: 0125521491.
Recipe 0115, score: 1255214910.
Recipe 0116, score: 2552149101.
Recipe 0117, score: 5521491012.
Recipe 0118, score: 5214910126.
Recipe 0119, score: 2149101261.
Recipe 0120, score: 1491012616.
Recipe 0121, score: 4910126161.
Recipe 0122, score: 9101261611.
Recipe 0123, score: 1012616118.
Recipe 0124, score: 0126161189.
Recipe 0125, score: 1261611895.
Recipe 0126, score: 2616118954.
Recipe 0127, score: 6161189541.
Recipe 0128, score: 1611895411.
Recipe 0129, score: 6118954119.
Recipe 0130, score: 1189541198.
Recipe 0131, score: 1895411981.
Recipe 0132, score: 8954119814.
Recipe 0133, score: 9541198148.
Recipe 0134, score: 5411981485.
Recipe 0135, score: 4119814851.
Recipe 0136, score: 1198148513.
Recipe 0137, score: 1981485137.
Recipe 0138, score: 9814851379.
Recipe 0139, score: 8148513797.
Recipe 0140, score: 1485137975.
Recipe 0141, score: 4851379755.
Recipe 0142, score: 8513797558.
Recipe 0143, score: 5137975586.
Recipe 0144, score: 1379755865.
Recipe 0145, score: 3797558657.
Recipe 0146, score: 7975586571.
Recipe 0147, score: 9755865714.
Recipe 0148, score: 7558657143.
Recipe 0149, score: 5586571431.
Recipe 0150, score: 5865714313.
Recipe 0151, score: 8657143131.
Recipe 0152, score: 6571431314.
Recipe 0153, score: 5714313147.
Recipe 0154, score: 7143131471.
Recipe 0155, score: 1431314716.
Recipe 0156, score: 4313147160.
Recipe 0157, score: 3131471602.
Recipe 0158, score: 1314716025.
Recipe 0159, score: 3147160251.
Recipe 0160, score: 1471602514.
Recipe 0161, score: 4716025148.
Recipe 0162, score: 7160251482.
Recipe 0163, score: 1602514826.
Recipe 0164, score: 6025148261.
Recipe 0165, score: 0251482612.
Recipe 0166, score: 2514826125.
Recipe 0167, score: 5148261251.
Recipe 0168, score: 1482612512.
Recipe 0169, score: 4826125121.
Recipe 0170, score: 8261251211.
Recipe 0171, score: 2612512116.
Recipe 0172, score: 6125121161.
Recipe 0173, score: 1251211611.
Recipe 0174, score: 2512116119.
Recipe 0175, score: 5121161191.
